start,end,language,freq,d1,d2,d3,d4,d5,d6,d7,tx
0200,0300,English,9600,Su,Mo,Tu,We,Th,Fr,Sa,Madagarcar
0300,0400,English,15515,Su,Mo,Tu,We,Th,Fr,Sa,Madagarcar
