start,end,language,freq,d1,d2,d3,d4,d5,d6,d7,tx
1500,1557,Urdu,7285,Su,Mo,Tu,We,Th,Fr,Sa,Kashi
1600,1800,English,6060,Su,Mo,Tu,We,Th,Fr,Sa,Kunming
1600,1800,English,7235,Su,Mo,Tu,We,Th,Fr,Sa,Kashi
1600,1657,Hindi,5915,Su,Mo,Tu,We,Th,Fr,Sa,Kashi
1600,1657,Hindi,7395,Su,Mo,Tu,We,Th,Fr,Sa,Urumqi
1700,1757,English,6140,Su,Mo,Tu,We,Th,Fr,Sa,Kashi
2300,2357,English,5915,Su,Mo,Tu,We,Th,Fr,Sa,Kashi
2300,2400,English,6180,Su,Mo,Tu,We,Th,Fr,Sa,Kashi
2300,2400,English,6180,Su,Mo,Tu,We,Th,Fr,Sa,Kashi
2300,2357,English,11690,Su,Mo,Tu,We,Th,Fr,Sa,Beijing
