start,end,language,freq,d1,d2,d3,d4,d5,d6,d7,tx,ds
0100,0127,Urdu,15280,Su,Mo,Tu,We,Th,Fr,Sa,Palauig,
0130,0157,Chin,15255,Su,Mo,Tu,We,Th,Fr,Sa,Palauig,
1330,1357,Chin,11870,Su,Mo,Tu,We,Th,Fr,Sa,Palauig,
1400,1427,Bangla,11880,Su,Mo,Tu,We,Th,Fr,Sa,Palauig,
1430,1500,Telugu,11870,Su,Mo,Tu,We,Th,Fr,Sa,Palauig,
1430,1457,Urdu,9610,Su,Mo,Tu,We,Th,Fr,Sa,Palauig,
