station,start,end,freq,d1,d2,d3,d4,d5,d6,d7,tx
Adventist World Radio,1530,1600,9580,Su,Mo,Tu,We,Th,Fr,Sa,Tashkent
All India Radio,0215,0300,13695,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
All India Radio,0215,0300,15030,Su,Mo,Tu,We,Th,Fr,Sa,Bengaluru
FEBA Radio,1400,1415,11580,Su, , , , , , ,Trincomalee
FEBA Radio,1415,1430,11580, , , , ,Th,Fr,Sa,Trincomalee
Reach Beyond Australia,,,11900, ,Mo,Tu,We,Th,Fr, ,Kununurra
Trans World Radio,1430,1445,882,Su, , , , , , ,Puttalam
Trans World Radio,1430,1500,882, ,Mo,Tu,We,Th,Fr, ,Puttalam
