station,start,end,freq,d1,d2,d3,d4,d5,d6,d7,tx,ds
All India Radio,1500,1600,1071,Su,Mo,Tu,We,Th,Fr,Sa,Rajkot,
All India Radio,1500,1600,7340,Su,Mo,Tu,We,Th,Fr,Sa,Mumbai,
All India Radio,1500,1600,9620,Su,Mo,Tu,We,Th,Fr,Sa,Aligarh,
