station,start,end,freq,d1,d2,d3,d4,d5,d6,d7,tx
Gospel for Asia,,,7380, , , ,We,Th, , ,Nauen
Gospel for Asia,,,15235, ,Mo,Tu, , , , ,Nauen
Gospel for Asia,,,15285, ,Mo, , , , , ,Nauen
