station,start,end,freq,d1,d2,d3,d4,d5,d6,d7,tx
Gospel for Asia,,,15285, , , , , ,Fr, ,Nauen
Trans World Radio,1330,1400,882, ,Mo,Tu,We,Th,Fr, ,Puttalam
Trans World Radio,1345,1400,882,Su, , , , , , ,Puttalam
