station,start,end,freq,d1,d2,d3,d4,d5,d6,d7,tx
Gospel for Asia,0000,0015,7380,Su, , , , ,Fr,Sa,Nauen
Gospel for Asia,1415,1430,15235, , , ,We,Th,Fr, ,Nauen
