station,start,end,freq,d1,d2,d3,d4,d5,d6,d7,tx
Adventist World Radio,1530,1600,9470,Su,Mo,Tu,We,Th,Fr,Sa,Trincomalee
Gospel for Asia,,,15285,Su, , , , ,Fr,Sa,Nauen
Reach Beyond Australia,,,11750, , , , , , ,Sa,Kununurra
Trans World Radio,1415,1430,882,Su, , , , , , ,Puttalam
Trans World Radio,1515,1530,882,  , , , , , , ,Puttalam
Trans World Radio,1530,1600,882,Su,Mo,Tu,We,Th,Fr,Sa,Puttalam
