station,start,end,freq,d1,d2,d3,d4,d5,d6,d7,tx
Gospel for Asia,1415,1430,15285,Su, , , , , ,Sa,Nauen
Trans World Radio,1330,1345,882, , , , , , ,Sa,Puttalam
