station,start,end,freq,d1,d2,d3,d4,d5,d6,d7,tx
Gospel for Asia,2330,2345,7380, , , , ,Th, , ,Nauen
Gospel for Asia,1500,1515,15235, ,Mo, , , , , ,Nauen
