station,start,end,freq,d1,d2,d3,d4,d5,d6,d7,tx,ds
Adventist World Radio,1330,1400,15550,Su,Mo,Tu,We,Th,Fr,Sa,Trincomalee,1  4
Trans World Radio,,,12160, ,Mo,Tu,We,Th,Fr, ,Agana,
