station,start,end,freq,d1,d2,d3,d4,d5,d6,d7,tx
Gospel for Asia,0045,0100,7465, , , ,We, , , ,Tashkent
Gospel for Asia,1500,1515,15235, , , , ,Th,Fr, ,Nauen
