station,start,end,freq,d1,d2,d3,d4,d5,d6,d7,tx,ds
Gospel for Asia,,,7465, ,Mo,Tu, , , , ,Tashkent,
Trans World Radio,,1400,1467, , , , , ,Fr, ,Bishkek,
