station,start,end,freq,d1,d2,d3,d4,d5,d6,d7,tx
Reach Beyond Australia,1230,1245,11750, , ,Tu,We, , , ,Kununurra
Reach Beyond Australia,1345,1400,9720, , , , ,Th, , ,Kununurra
