station,start,end,freq,d1,d2,d3,d4,d5,d6,d7,tx
Reach Beyond Australia,1200,1215,11900,Su, , , , , ,Sa,Kununurra
Reach Beyond Australia,1330,1345,9720,Su, , , , , ,Sa,Kununurra
Trans World Radio,1400,1415,882,Su, , , , , , ,Puttalam
Trans World Radio,1600,1615,882,Su, , , , , , ,Puttalam
