station,start,end,freq,d1,d2,d3,d4,d5,d6,d7,tx
Trans World Radio,1400,1415,12160, Su,,,,,, Sa,Tashkent
Trans World Radio,1415,1430,12160,,,,,,,Sa,Tashkent
