station,start,end,freq,d1,d2,d3,d4,d5,d6,d7,tx
Gospel for Asia,,,7465, ,Mo,Tu, , , , ,Tashkent
Gospel for Asia,,,15285, ,Mo,Tu, , , , ,Nauen
Reach Beyond Australia,,,11750,Su, , , , , , ,Kununurra
Reach Beyond Australia,,,11750, ,Mo, , , , , ,Kununurra
Reach Beyond Australia,,,9720, , ,Tu, , , , ,Kununurra
