station,start,end,freq,d1,d2,d3,d4,d5,d6,d7,tx
Adventist World Radio,1330,1400,15430,Su,Mo,Tu,We,Th,Fr,Sa,Trincomalee
Gospel for Asia,1430,1445,15235,Su, , , , , ,Sa,Nauen
