station,start,end,freq,d1,d2,d3,d4,d5,d6,d7,tx
Gospel for Asia,1500,1515,15235,Su, , , , , ,Sa,Nauen
Gospel for Asia,1330,1345,15285, ,Mo,Tu,We, , , ,Nauen
Reach Beyond Australia,1315,1330,11750, , , , , , ,Sa,Kununurra
