station,start,end,freq,d1,d2,d3,d4,d5,d6,d7,tx
Gospel for Asia,1545,1615,15150, , , , , , ,Sa,Nauen
Trans World Radio,1530,1600,1467,Su,Mo,Tu,We,Th,Fr,Sa,Bishkek
