station,start,end,freq,d1,d2,d3,d4,d5,d6,d7,tx,ds
Adventist World Radio,1530,1600,9910,Su,Mo,Tu,We,Th,Fr,Sa,Trincomalee,1234567
Gospel for Asia,,,15285, , , , ,Th,Fr, ,Nauen,
Reach Beyond Australia,,,9720, ,Mo, , , ,Fr, ,Kununurra,
Trans World Radio,1600,1630,882, ,Mo,Tu,We,Th,Fr,Sa,Puttalam,
Trans World Radio,1630,1645,882, , , , , , ,Sa,Puttalam,
