station,start,end,freq,d1,d2,d3,d4,d5,d6,d7,tx
Adventist World Radio,1330,1400,15255,Su,Mo,Tu,We,Th,Fr,Sa,Agat
Gospel for Asia,1345,1400,15235, ,Mo,Tu, , , , ,Nauen
