station,start,end,freq,d1,d2,d3,d4,d5,d6,d7,tx
Gospel for Asia,2345,2400,7380, , , , , ,Fr,Sa,Nauen
Gospel for Asia,1400,1415,15235, , , , ,Th,Fr, ,Nauen
