station,start,end,freq,d1,d2,d3,d4,d5,d6,d7,tx
Bhutan Bc Service,0300,0400,6035,Su,Mo,Tu,We,Th,Fr,Sa,Thimphu
Bhutan Bc Service,1200,1300,6035,Su,Mo,Tu,We,Th,Fr,Sa,Thimphu
